city,state,latitude,longitude,population,area,density,time_zone
Aguanga,CA,33.4929,-116.8349,3028,99.0777,30.56,America/Los_Angeles
Aguas Buenas,PR,18.2484,-66.1312,26320,27.3031,963.99,America/Puerto_Rico
Aguila,AZ,33.9187,-113.2134,1480,714.2887,2.07,America/Phoenix
Aguilar,CO,37.5309,-104.5232,877,564.3524,1.55,America/Denver
Aguirre,PR,17.9672,-66.2202,8274,4.7056,1758.33,America/Puerto_Rico
Ahmeek,MI,47.3078,-88.3952,199,1.3770,144.52,America/Detroit
Ahoskie,NC,36.2895,-76.9931,11833,133.9808,88.32,America/New_York
Ahsahka,ID,46.5394,-116.3234,218,12.9493,16.83,America/Los_Angeles
Ahwahnee,CA,37.3938,-119.7444,1726,40.3886,42.73,America/Los_Angeles
Aibonito,PR,18.1295,-66.2648,23176,28.9308,801.08,America/Puerto_Rico
Aiea,HI,21.3968,-157.8977,40439,18.9808,2130.52,Pacific/Honolulu
Aiken,SC,33.5346,-81.6512,73152,393.5934,185.86,America/New_York
Ailey,GA,32.1882,-82.5175,1715,52.9732,32.37,America/New_York
Aimwell,LA,31.7975,-91.9460,257,62.0176,4.14,America/Chicago
Ainsworth,IA,41.3323,-91.5461,1503,78.4204,19.17,America/Chicago
Ainsworth,NE,42.3778,-99.9085,2188,703.9926,3.11,America/Chicago
Airville,PA,39.8156,-76.4093,2564,31.9344,80.29,America/New_York
Airway Heights,WA,47.6365,-117.5863,6798,7.8514,865.83,America/Los_Angeles
Aitkin,MN,46.4820,-93.6427,8834,448.7928,19.68,America/Chicago
Ajo,AZ,32.2294,-112.6543,4370,1533.8779,2.85,America/Phoenix
Akaska,SD,45.2869,-100.1413,68,43.7582,1.55,America/Chicago
Akeley,MN,46.9733,-94.6969,1653,110.0391,15.02,America/Chicago
Akiachak,AK,60.9092,-161.4203,567,1.6435,345.00,America/Anchorage
Akiak,AK,60.9099,-161.2267,416,1.0816,384.62,America/Anchorage
Akron,AL,32.8537,-87.7386,1089,68.9287,15.80,America/Chicago
Akron,CO,40.0821,-103.2128,2803,983.8581,2.85,America/Denver
Akron,IA,42.8331,-96.5223,2329,134.2137,17.35,America/Chicago
Akron,IN,41.0415,-86.0413,3412,62.7324,54.39,America/Indiana/Indianapolis
Akron,MI,43.5861,-83.5452,1470,45.4056,32.37,America/Detroit
Akron,NY,43.0330,-78.5121,9549,66.5503,143.49,America/New_York
Akron,OH,41.0725,-81.5461,270318,141.3414,1912.52,America/New_York
Akron,PA,40.1572,-76.2041,4251,1.3736,3094.79,America/New_York
Akutan,AK,54.1286,-165.8059,758,10.2331,74.07,America/Nome
Alabaster,AL,33.2195,-86.8349,34952,52.4495,666.39,America/Chicago
Alachua,FL,29.8026,-82.4937,15772,142.7667,110.47,America/New_York
Aladdin,WY,44.7077,-104.2705,270,347.4918,0.78,America/Denver
Alakanuk,AK,62.6943,-164.6475,837,27.6211,30.30,America/Nome
Alamance,NC,36.0342,-79.4849,81,0.1699,476.75,America/New_York
Alameda,CA,37.7560,-122.2577,78462,11.2790,6956.47,America/Los_Angeles
Alamo,CA,37.8504,-122.0211,15646,13.3413,1172.75,America/Los_Angeles
Alamo,GA,32.1282,-82.7982,4766,165.7804,28.75,America/New_York
Alamo,IN,39.9837,-87.0554,62,0.0599,1035.06,America/Indiana/Indianapolis
Alamo,ND,48.6061,-103.4657,279,359.0749,0.78,America/Chicago
Alamo,NV,37.2739,-115.3905,1441,2781.8649,0.52,America/Los_Angeles
Alamo,TN,35.8109,-89.1566,4656,66.8287,69.67,America/Chicago
Alamo,TX,26.1458,-98.1194,35097,39.5881,886.55,America/Chicago
Alamogordo,NM,32.7542,-105.9972,37541,437.1710,85.87,America/Denver
